DeviceId,"Explanation.explanation","Explanation.durationMs"
"f55179ce-95a0-4ccd-ac62-8f74a3e3917e","USER_COUNT_EXPLANATION_SHORT",7967
"474587e6-7aab-4d6a-8e93-8dbcbe098907","USER_COUNT_EXPLANATION_SHORT",1646
"474587e6-7aab-4d6a-8e93-8dbcbe098907","USER_COUNT_EXPLANATION_LONG",1640
"474587e6-7aab-4d6a-8e93-8dbcbe098907","USER_COUNT_EXPLANATION_SHORT",23993
"64eac791-b267-4e1d-b147-0d5e1e5a9d1a","USER_COUNT_EXPLANATION_SHORT",6625
"67bd8df4-332c-4e34-b81a-794a399a10a1","USER_COUNT_EXPLANATION_SHORT",1334
"7703b761-28e3-45c8-8f59-fac3d13394e9","USER_COUNT_EXPLANATION_SHORT",3136
"7703b761-28e3-45c8-8f59-fac3d13394e9","USER_COUNT_EXPLANATION_LONG",3133
"a557ec5c-ec0e-438e-9ced-766f0c8aac2d","USER_COUNT_EXPLANATION_SHORT",12648
"eb4070c2-0c74-4576-9f72-63d9bc8d1c0f","USER_COUNT_EXPLANATION_SHORT",9658
"ae328f7f-bf36-4e89-9124-9d5899dfaf4b","USER_COUNT_EXPLANATION_SHORT",1846
"ae328f7f-bf36-4e89-9124-9d5899dfaf4b","USER_COUNT_EXPLANATION_SHORT",4440
"ae328f7f-bf36-4e89-9124-9d5899dfaf4b","USER_COUNT_EXPLANATION_SHORT",2135
"ae328f7f-bf36-4e89-9124-9d5899dfaf4b","USER_COUNT_EXPLANATION_LONG",2120
"ae328f7f-bf36-4e89-9124-9d5899dfaf4b","USER_COUNT_EXPLANATION_SHORT",5649
"e21195a7-bfa4-4a84-b948-fd0a1bba99cd","USER_COUNT_EXPLANATION_SHORT",7932
"e0abc845-d264-4e60-b0ef-224751244055","USER_COUNT_EXPLANATION_SHORT",2898
"e0abc845-d264-4e60-b0ef-224751244055","USER_COUNT_EXPLANATION_LONG",2890
"9973665a-e317-4d06-a57c-c8044d0325e3","USER_COUNT_EXPLANATION_SHORT",5766
"77bf67ac-8f80-4ca5-a457-5295f95e3e09","USER_COUNT_EXPLANATION_SHORT",3707
"d9dea605-1d7c-434d-a616-bcb620418883","USER_COUNT_EXPLANATION_SHORT",26895
"2f1732a6-bda8-41b2-ac6a-2478e6e1f0e6","USER_COUNT_EXPLANATION_SHORT",8453193
"b07376c4-4e42-474b-bdf1-7223bb1a2adc","USER_COUNT_EXPLANATION_SHORT",3414
"e97b0766-689c-4ee1-8cd8-7ac4616b3bc4","USER_COUNT_EXPLANATION_SHORT",5025
"cf477152-e475-41a2-9343-8e056507525b","USER_COUNT_EXPLANATION_SHORT",7215
"95e3345a-c372-4495-80b2-cb38afbdb125","USER_COUNT_EXPLANATION_SHORT",8572
"de0459e7-20b0-4133-aa1d-5ee362e6cc75","USER_COUNT_EXPLANATION_SHORT",10178
"09c88d51-13f8-49c6-9e2d-c73f2b069379","USER_COUNT_EXPLANATION_SHORT",6191
"6e15f34e-680e-4bf0-9e6d-a359b0664896","USER_COUNT_EXPLANATION_SHORT",10295
"6e15f34e-680e-4bf0-9e6d-a359b0664896","USER_COUNT_EXPLANATION_LONG",10289
"37af9372-5720-48e9-9cdf-67c0bdadee84","USER_COUNT_EXPLANATION_SHORT",5904
"37af9372-5720-48e9-9cdf-67c0bdadee84","USER_COUNT_EXPLANATION_LONG",5893
"271fcfa7-0827-48da-9793-3750b38f60a4","USER_COUNT_EXPLANATION_SHORT",13507
"271fcfa7-0827-48da-9793-3750b38f60a4","USER_COUNT_EXPLANATION_LONG",13504
"37af9372-5720-48e9-9cdf-67c0bdadee84","USER_COUNT_EXPLANATION_SHORT",10911
"37af9372-5720-48e9-9cdf-67c0bdadee84","USER_COUNT_EXPLANATION_LONG",10898
"936a0ee4-66a6-4ea4-965f-f0d4fb9e5c8a","USER_COUNT_EXPLANATION_SHORT",6828
"936a0ee4-66a6-4ea4-965f-f0d4fb9e5c8a","USER_COUNT_EXPLANATION_LONG",6809
"6e84e67f-a6e9-4199-a82a-f54c1853a1c1","USER_COUNT_EXPLANATION_SHORT",14669
"85c45f0e-72a5-4ab6-ac10-8df0c9b4d504","USER_COUNT_EXPLANATION_SHORT",1614
"85c45f0e-72a5-4ab6-ac10-8df0c9b4d504","USER_COUNT_EXPLANATION_LONG",1612
"2f1732a6-bda8-41b2-ac6a-2478e6e1f0e6","USER_COUNT_EXPLANATION_SHORT",60204
"85c45f0e-72a5-4ab6-ac10-8df0c9b4d504","USER_COUNT_EXPLANATION_SHORT",1462
"85c45f0e-72a5-4ab6-ac10-8df0c9b4d504","USER_COUNT_EXPLANATION_SHORT",6511
"85c45f0e-72a5-4ab6-ac10-8df0c9b4d504","USER_COUNT_EXPLANATION_SHORT",10261
"4fbc6f00-f882-4e18-a502-d0029e489ad2","USER_COUNT_EXPLANATION_SHORT",14586
"bfdd0d94-8c98-4efc-8861-8023d2a59d7d","USER_COUNT_EXPLANATION_SHORT",8652
"bfdd0d94-8c98-4efc-8861-8023d2a59d7d","USER_COUNT_EXPLANATION_SHORT",11960
"bfdd0d94-8c98-4efc-8861-8023d2a59d7d","USER_COUNT_EXPLANATION_LONG",11953
"692cbe14-36e4-45c1-9c29-e42ab29a2b73","USER_COUNT_EXPLANATION_SHORT",2293
"692cbe14-36e4-45c1-9c29-e42ab29a2b73","USER_COUNT_EXPLANATION_LONG",2256
"692cbe14-36e4-45c1-9c29-e42ab29a2b73","USER_COUNT_EXPLANATION_SHORT",13189
"83f9fd84-e856-4404-832e-aba5a1e0d182","USER_COUNT_EXPLANATION_SHORT",7480
"83f9fd84-e856-4404-832e-aba5a1e0d182","USER_COUNT_EXPLANATION_LONG",7472
"c61132d2-52ab-4e01-8751-44c3501ee077","USER_COUNT_EXPLANATION_SHORT",4725
"9a7b560f-8bc3-403b-84e9-466b4ab06122","USER_COUNT_EXPLANATION_SHORT",2107
"bb0ae1e4-4540-44ea-8f4a-11f32e8d29a9","USER_COUNT_EXPLANATION_SHORT",21031
"bb0ae1e4-4540-44ea-8f4a-11f32e8d29a9","USER_COUNT_EXPLANATION_LONG",21029
"37be4615-88d8-4520-9aea-6514a303e022","USER_COUNT_EXPLANATION_SHORT",8114
"0534a382-ed48-401e-b91b-a8d3b03e05a2","USER_COUNT_EXPLANATION_SHORT",7534
"2f5cebab-6cc4-4507-b2d1-f3e66f4b48b0","USER_COUNT_EXPLANATION_SHORT",6979
"2f5cebab-6cc4-4507-b2d1-f3e66f4b48b0","USER_COUNT_EXPLANATION_LONG",6972
